,Data ID,City Name,Latitude,Longitude,Date,Temperature (F),Humidity (%),Cloudiess (%),Wind Speed (mph)
0,588532.0,suure-jaani,58.54,25.46,1533265694.0,64.14,74.0,36.0,3.38
1,2729907.0,longyearbyen,78.22,15.63,1533264600.0,46.4,81.0,75.0,3.36
2,2618795.0,klaksvik,62.23,-6.59,1533264600.0,50.0,100.0,76.0,3.36
3,3435264.0,concepcion del uruguay,-32.48,-58.24,1533265694.0,47.22,93.0,92.0,9.08
4,3380290.0,sinnamary,5.38,-52.96,1533265695.0,80.88,95.0,8.0,10.42
5,3366880.0,hermanus,-34.42,19.24,1533266227.0,42.54,94.0,0.0,7.4
6,5866063.0,kenai,60.55,-151.26,1533264960.0,53.6,93.0,90.0,8.05
7,503581.0,pyaozerskiy,65.83,31.17,1533266227.0,61.62,95.0,92.0,4.72
8,3874787.0,punta arenas,-53.16,-70.91,1533261600.0,41.0,93.0,90.0,6.93
9,5397851.0,south yuba city,39.12,-121.64,1533264000.0,86.34,25.0,1.0,6.93
10,2517679.0,fortuna,38.18,-1.13,1533265200.0,74.41,83.0,0.0,5.82
11,5742974.0,north bend,43.41,-124.22,1533264960.0,60.8,82.0,1.0,10.29
12,5972291.0,havre-saint-pierre,50.23,-63.6,1533265200.0,57.2,100.0,20.0,9.17
13,3418910.0,upernavik,72.79,-56.15,1533266229.0,39.93,93.0,12.0,13.78
14,2082539.0,merauke,-8.49,140.4,1533265697.0,83.85,78.0,56.0,12.33
15,6185377.0,yellowknife,62.45,-114.38,1533261600.0,71.6,68.0,20.0,9.17
16,4030556.0,rikitea,-23.12,-134.97,1533265697.0,69.72,100.0,100.0,6.73
17,2163355.0,hobart,-42.88,147.33,1533261600.0,57.2,44.0,75.0,1.12
18,344979.0,lebu,8.96,38.73,1533265698.0,44.16,90.0,24.0,2.71
19,2737599.0,saldanha,41.42,-6.55,1533265698.0,64.68,75.0,0.0,2.71
20,3453439.0,ponta do sol,-20.63,-46.0,1533265698.0,56.85,89.0,36.0,3.04
21,3171985.0,orbetello,42.44,11.21,1533261300.0,73.4,94.0,0.0,2.24
22,986717.0,kruisfontein,-34.0,24.73,1533265698.0,56.4,93.0,88.0,5.73
23,3471451.0,arraial do cabo,-22.97,-42.02,1533265698.0,67.56,100.0,92.0,14.34
24,3833859.0,barrow,-38.31,-60.23,1533265699.0,41.37,83.0,0.0,11.77
25,2027786.0,amga,60.89,131.98,1533265699.0,67.74,70.0,0.0,6.4
26,2017155.0,saskylakh,71.97,114.09,1533265699.0,64.41,74.0,64.0,13.89
27,3911925.0,el alto,-16.5,-68.19,1533261600.0,42.8,87.0,75.0,6.93
28,1282256.0,hithadhoo,-0.6,73.08,1533265411.0,83.22,100.0,44.0,9.19
29,2059470.0,victor harbor,-35.55,138.62,1533261600.0,55.4,71.0,40.0,18.34
30,2185329.0,otane,-39.89,176.62,1533265700.0,48.57,87.0,92.0,3.71
31,2069194.0,jamestown,-33.21,138.6,1533265700.0,47.04,95.0,88.0,18.25
32,2013727.0,vanavara,60.35,102.28,1533265700.0,49.38,100.0,100.0,3.6
33,2075265.0,busselton,-33.64,115.35,1533265700.0,60.27,100.0,92.0,31.34
34,3369157.0,cape town,-33.93,18.42,1533263400.0,50.0,81.0,0.0,6.93
35,2175403.0,bluff,-23.58,149.07,1533265701.0,69.54,57.0,12.0,6.85
36,6170031.0,tuktoyaktuk,69.44,-133.03,1533261600.0,44.6,70.0,75.0,11.41
37,3424607.0,tasiilaq,65.61,-37.64,1533264600.0,44.6,93.0,80.0,2.59
38,146639.0,lasa,34.92,32.53,1533265200.0,77.0,94.0,20.0,3.36
39,3652764.0,puerto ayora,-0.74,-90.35,1533265702.0,70.08,100.0,12.0,13.67
40,3833367.0,ushuaia,-54.81,-68.31,1533261600.0,42.8,56.0,75.0,5.82
41,6160603.0,swift current,50.29,-107.8,1533264000.0,66.2,63.0,40.0,21.92
42,2146219.0,hervey bay,-25.3,152.85,1533265702.0,69.18,85.0,44.0,5.39
43,964432.0,port alfred,-33.59,26.89,1533265702.0,56.94,100.0,64.0,2.48
44,2033225.0,zalantun,48.0,122.72,1533265703.0,68.55,99.0,92.0,7.74
45,546742.0,kodino,63.72,39.64,1533265703.0,69.27,74.0,68.0,9.19
46,3863379.0,mar del plata,-46.43,-67.52,1533265703.0,49.74,48.0,36.0,17.36
47,2450173.0,taoudenni,22.68,-3.98,1533265703.0,81.78,31.0,24.0,2.48
48,1067565.0,beloha,-25.17,45.06,1533265703.0,64.5,94.0,92.0,4.94
49,2128975.0,nemuro,43.32,145.57,1533261600.0,78.8,65.0,75.0,1.12
50,5106834.0,albany,42.65,-73.75,1533264840.0,70.48,88.0,75.0,4.7
51,3650956.0,sucua,-2.46,-78.17,1533265704.0,63.15,89.0,68.0,1.48
52,2122389.0,ossora,59.24,163.07,1533265704.0,55.5,100.0,20.0,6.73
53,2021017.0,kysyl-syr,63.9,122.77,1533265705.0,66.3,75.0,48.0,3.6
54,3220813.0,wanning,48.64,13.53,1533262800.0,68.0,88.0,0.0,3.36
55,1261853.0,narasannapeta,18.42,84.04,1533265705.0,77.37,99.0,64.0,2.71
56,5983430.0,innisfail,52.02,-113.95,1533262800.0,57.2,82.0,75.0,8.05
